school,county,type
MARIAN CENTER SCHOOL AND SERVICES,MIAMI-DADE,k12
MARIANNA HIGH SCHOOL,JACKSON,k12
MARIANNA K-8 SCHOOL,JACKSON,k12
MARIANO MORENO CULINARY INSTITUTE,MIAMI-DADE,university
MARINE MECHANICS INSTITUTE,ORANGE,university
MARINE SCIENCE EDUCATION CENTER,DUVAL,k12
MARINER HIGH SCHOOL,LEE,k12
MARINER MIDDLE SCHOOL,LEE,k12
MARION CHARTER SCHOOL,MARION,k12
MARION COUNTY SCHOOL BOARD DISTRICT OFFICE,MARION,k12
MARION DISTRICT OFFICE,MARION,k12
MARION OAKS ELEMENTARY SCHOOL,MARION,k12
MARION TECHNICAL COLLEGE,MARION,university
MARION TECHNICAL INSTITUTE,MARION,k12
MARIPOSA ELEMENTARY SCHOOL,ST. LUCIE,k12
MARJORIE G. KINNAN ELEMENTARY SCHOOL,MANATEE,k12
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,PINELLAS,k12
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,ALACHUA,k12
MARJORY STONEMAN DOUGLAS ELEMENTARY SCHOOL,MIAMI-DADE,k12
MARJORY STONEMAN DOUGLAS HIGH SCHOOL,BROWARD,k12
MARKHAM WOODS MIDDLE SCHOOL,SEMINOLE,k12
MARSH POINTE ELEMENTARY SCHOOL,PALM BEACH,k12
MARSHALL MIDDLE MAGNET SCHOOL,HILLSBOROUGH,k12
MARTHA B. KING MIDDLE SCHOOL,MANATEE,k12
MARTIN COUNTY HIGH SCHOOL,MARTIN,k12
MARTIN DISTRICT OFFICE,MARTIN,k12
MARTIN J. GOTTLIEB DAY SCHOOL,DUVAL,k12
MARTIN LUTHER KING JR ELEMENTARY SCHOOL,DUVAL,k12
MARTIN LUTHER KING MIDDLE SCHOOL,SANTA ROSA,k12
"MARTIN LUTHER KING, JR. SCHOOL OF THE ARTS",DUVAL,k12
MARTINEZ MIDDLE SCHOOL,HILLSBOROUGH,k12
MARY ESTHER ELEMENTARY SCHOOL,OKALOOSA,k12
MARY GIELLA ELEMENTARY SCHOOL,PASCO,k12
MARY HELP OF CHRISTIANS SCHOOL,BROWARD,k12
MARY M BETHUNE ELEMENTARY SCHOOL,BROWARD,k12
MARY'S HOUSE,PASCO,k12
MASCOTTE ELEMENTARY SCHOOL,LAKE,k12
MASON CLASSICAL ACADEMY,COLLIER,k12
MAST ACADEMY SCHOOL,MIAMI-DADE,k12
MAST@ FLORIDA INTERNATIONAL UNIVERSITY,MIAMI-DADE,k12
MASTER MINDS ACADEMY,BROWARD,k12
MASTER'S ACADEMY OF VERO BEACH,INDIAN RIVER,k12
MASTERS PREPARATORY SCHOOL,MIAMI-DADE,k12
MASTERS PREPARATORY SCHOOL- EAST HIALEAH,MIAMI-DADE,k12
MASTERS PREPARATORY SCHOOL- NORTH MIAMI,MIAMI-DADE,k12
MATANZAS HIGH SCHOOL,FLAGLER,k12
MATER ACADAEMY,MIAMI-DADE,university
MATER ACADEMY,MIAMI-DADE,k12
MATER ACADEMY AT MOUNT SINAI,MIAMI-DADE,k12
MATER ACADEMY AT ST CLOUD,OSCEOLA,k12
MATER ACADEMY BAY ELEMENTARY SCHOOL,MIAMI-DADE,k12
MATER ACADEMY BAY MIDDLE SCHOOL,MIAMI-DADE,k12
MATER ACADEMY CHARTER HIGH,MIAMI-DADE,k12
MATER ACADEMY CHARTER MIDDLE,MIAMI-DADE,k12
MATER ACADEMY EAST CHARTER HIGH SCHOOL,MIAMI-DADE,k12
MATER ACADEMY ELEMENTARY SCHOOL,MIAMI-DADE,k12
MATER ACADEMY LAKES HIGH SCHOOL,MIAMI-DADE,k12
MATER ACADEMY LAKES MIDDLE SCHOOL,MIAMI-DADE,k12
MATER ACADEMY MIAMI BEACH,MIAMI-DADE,k12
MATER ACADEMY OF INTERNATIONAL STUDIES,MIAMI-DADE,k12
MATER ACADEMY PREPARATORY HIGH SCHOOL.,OSCEOLA,k12
MATER BRIGHTON LAKES,OSCEOLA,k12
MATER EAST ACADEMY MIDDLE SCHOOL,MIAMI-DADE,k12
MATER GARDENS ACADEMY,MIAMI-DADE,k12
MATER GROVE ACADEMY,MIAMI-DADE,k12
MATER HIGH SOUTH,MIAMI-DADE,k12
MATER INTERNATIONAL ACADEMY,MIAMI-DADE,k12
MATER INTERNATIONAL PREPARATORY,MIAMI-DADE,k12
MATER PALMS ACADEMY,OSCEOLA,k12
MATER PERFORMING ARTS & ENTERTAINMENT ACADEMY,MIAMI-DADE,k12
MATER PREPARATORY ACADEMY,MIAMI-DADE,k12
MATER VIRTUAL ACADEMY,MIAMI-DADE,k12
MATTHEW W. GILBERT MIDDLE SCHOOL,DUVAL,k12
MATTIE V RUTHERFORD ALT ED CENTER,DUVAL,k12
MAUDE SAUNDERS ELEMENTARY SCHOOL,WALTON,k12
MAX BRUNER JUNIOR MIDDLE SCHOOL,OKALOOSA,k12
MAXIMO ELEMENTARY SCHOOL,PINELLAS,k12
MAY SANDS MONTESSORI SCHOOL,MONROE,k12
MAYA ANGELOU ELEMENTARY SCHOOL,MIAMI-DADE,k12
MAYNARD EVANS HIGH,ORANGE,k12
MAYPORT COASTAL SCIENCES MIDDLE SCHOOL,DUVAL,k12
MAYPORT ELEMENTARY SCHOOL,DUVAL,k12
MAYPORT MIDDLE SCHOOL,DUVAL,k12
MCA ACADEMY,MIAMI-DADE,k12
MCARTHUR HIGH SCHOOL,BROWARD,k12
MCDONALD ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MCFATTER TECHNICAL COLLEGE,BROWARD,university
MCGLANNAN SCHOOL,MIAMI-DADE,k12
MCHS,MADISON,k12
MCINTOSH AREA SCHOOL,MARION,k12
MCINTOSH MIDDLE SCHOOL,SARASOTA,k12
MCKEEL ACADEMY OF TECHNOLOGY,POLK,k12
MCKEEL ELEMENTARY SCHOOL ACADEMY,POLK,k12
MCKITRICK ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MCLANE MIDDLE SCHOOL,HILLSBOROUGH,k12
MCLAUGHLIN MIDDLE SCHOOL AND FINE ARTS ACADEMY,POLK,k12
MCMULLEN-BOOTH ELEMENTARY SCHOOL,PINELLAS,k12
MCNAB ELEMENTARY SCHOOL,BROWARD,k12
MCNICOL MIDDLE SCHOOL,BROWARD,k12
MCRAE ELEMENTARY SCHOOL,CLAY,k12
MCSB BEHAVIOR DEPT,MARION,k12
MEADOW PARK ELEMENTARY SCHOOL,CHARLOTTE,k12
MEADOW PARK ELEMENTARY SCHOOL,PALM BEACH,k12
MEADOW WOODS ELEMENTARY SCHOOL,ORANGE,k12
MEADOW WOODS MIDDLE SCHOOL,ORANGE,k12
MEADOWBROOK ACADEMY INC.,MARION,k12
MEADOWBROOK ELEMENTARY SCHOOL,BROWARD,k12
MEADOWBROOK ELEMENTARY SCHOOL,ALACHUA,k12
MEADOWBROOK MIDDLE,ORANGE,k12
MEADOWLANE ELEMENTARY SCHOOL,MIAMI-DADE,k12
MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,BREVARD,k12
MEADOWLANE PRIMARY ELEMENTARY SCHOOL,BREVARD,k12
MEADOWLAWN MIDDLE SCHOOL,PINELLAS,k12
MEDART ELEMENTARY SCHOOL,WAKULLA,k12
MEDICAL ACADEMY FOR SCIENCE AND TECHNOLOGY,MIAMI-DADE,k12
MEDULLA ELEMENTARY SCHOOL,POLK,k12
MELALEUCA ELEMENTARY SCHOOL,PALM BEACH,k12
MELBOURNE CENTRAL CATHOLIC HIGH SCHOOL,BREVARD,k12
MELBOURNE SENIOR HIGH SCHOOL,BREVARD,k12
MELLON ELEMENTARY SCHOOL,PUTNAM,k12
MELODY CHRISTIAN ACADEMY,SUWANNEE,k12
MELROSE ELEMENTARY SCHOOL,PINELLAS,k12
MELROSE ELEMENTARY SCHOOL,MIAMI-DADE,k12
MELROSE ELEMENTARY SCHOOL,PUTNAM,k12
MELROSE PARK ELEMENTARY SCHOOL,COLUMBIA,k12
MEMORIAL ELEMENTARY SCHOOL,HIGHLANDS,k12
MEMORIAL ELEMENTARY SCHOOL,DESOTO,k12
MEMORIAL MIDDLE,ORANGE,k12
MEMORIAL MIDDLE SCHOOL,HILLSBOROUGH,k12
MENDENHALL ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MENDEZ EXCEPTIONAL CENTER,HILLSBOROUGH,k12
MENI NINHO MENI NINHA INC,MIAMI-DADE,k12
MERCHANT LOGO THE VICTORY CENTER FOR AUTISM & RELATED DISABILITIES,MIAMI-DADE,k12
MERIDIAN COLLEGE SARASOTA,SARASOTA,university
MERRIAM CHERRY STREET ELEMENTARY SCHOOL,BAY,k12
MERRILL ROAD ELEMENTARY SCHOOL,DUVAL,k12
MERRITT BROWN MIDDLE SCHOOL,MIAMI-DADE,k12
MERRITT BROWN MIDDLE SCHOOL,BAY,k12
MERRITT ISLAND CHRISTIAN SCHOOL,BREVARD,k12
MERRITT ISLAND HIGH SCHOOL,BREVARD,k12
MESIVTA OF CORAL SPRINGS,BROWARD,k12
MESIVTA OF GREATER MIAMI,MIAMI-DADE,k12
MESIVTA YESHIVA ELEMENTARY SCHOOL,MIAMI-DADE,k12
METCALFE ELEMENTARY SCHOOL,ALACHUA,k12
METHODIST SCHOOL CENTER - BROOKSVILLE,HERNANDO,k12
METROWEST ELEMENTARY SCHOOL,ORANGE,k12
MEYGA LEARNING CENTER,MIAMI-DADE,k12
MIAMI ART CHARTER SCHOOL,MIAMI-DADE,k12
MIAMI ARTS CHARTER,MIAMI-DADE,k12
MIAMI ARTS STUDIO 6-12 AT ZELDA GLAZER,MIAMI-DADE,k12
MIAMI BAPTIST SCHOOL,MIAMI-DADE,k12
MIAMI BEACH ADULT & COMMUNITY ED CENTER,MIAMI-DADE,k12
MIAMI BEACH FEINBERG/FISHER K-8,MIAMI-DADE,k12
MIAMI BEACH NAUTILUS MIDDLE SCHOOL,MIAMI-DADE,k12
MIAMI BEACH SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI BEACH SOUTH POINTE ELEMENTARY SCHOOL,MIAMI-DADE,k12
MIAMI CAROL CITY SENIOR HIGH,MIAMI-DADE,k12
MIAMI CENTRAL SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI CHILDREN'S MUSEUM CHARTER SCHOOL,MIAMI-DADE,k12
MIAMI CHRISTIAN,MIAMI-DADE,k12
MIAMI COMMUNITY CHARTER HIGH SCHOOL,MIAMI-DADE,k12
MIAMI COMMUNITY CHARTER MIDDLE SCHOOL,MIAMI-DADE,k12
MIAMI COMMUNITY CHARTER SCHOOL,MIAMI-DADE,k12
MIAMI CORAL PARK HIGH ADULT EDUCATION,MIAMI-DADE,k12
MIAMI CORAL PARK SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI COUNTRY DAY SCHOOL,MIAMI-DADE,k12
MIAMI DADE COLLEGE,MIAMI-DADE,university
MIAMI DADE COLLEGE- EDUARDO J. PADRÓN CAMPUS,MIAMI-DADE,university
MIAMI DADE COLLEGE- HIALEAH CAMPUS,MIAMI-DADE,university
MIAMI DADE COLLEGE- HOMESTEAD CAMPUS,MIAMI-DADE,university
MIAMI DADE COLLEGE- KENDALL CAMPUS,MIAMI-DADE,university
MIAMI DADE COLLEGE- MED CENTER CAMPUS,MIAMI-DADE,university
MIAMI DADE COLLEGE- NORTH,MIAMI-DADE,university
MIAMI DADE COLLEGE- NORTH CAMPUS,MIAMI-DADE,university
MIAMI DADE COLLEGE- WEST CAMPUS,MIAMI-DADE,university
MIAMI DADE COLLEGE- WOLFSON CAMPUS,MIAMI-DADE,university
MIAMI DADE COUNTY SCHOOLS,MIAMI-DADE,k12
MIAMI DADE PUBLIC SCHOOL,MIAMI-DADE,k12
MIAMI EDISON SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI GARDENS ELEMENTARY SCHOOL,MIAMI-DADE,k12
MIAMI HEIGHTS ELEMENTARY SCHOOL,MIAMI-DADE,k12
MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,MIAMI-DADE,university
MIAMI JACKSON SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI KILLIAN SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE,MIAMI-DADE,k12
MIAMI LAKES K-8 CENTER,MIAMI-DADE,k12
MIAMI LAKES KINDERCARE,MIAMI-DADE,k12
MIAMI LAKES MIDDLE SCHOOL,MIAMI-DADE,k12
MIAMI NORLAND SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI NORTHWESTERN SENIOR HIGH,MIAMI-DADE,k12
MIAMI PALMETTO SENIOR HIGH ADULT,MIAMI-DADE,k12
MIAMI PALMETTO SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI PREP SCHOOLS,MIAMI-DADE,k12
MIAMI REGIONAL UNIVERSITY,MIAMI-DADE,university
MIAMI SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI SHORES ELEMENTARY SCHOOL,MIAMI-DADE,k12
MIAMI SHORES PRESBYTERIAN CHURCH SCHOOL,MIAMI-DADE,k12
MIAMI SOUTHRIDGE SENIOR HIGH,MIAMI-DADE,k12
MIAMI SPRINGS ELEMENTARY SCHOOL,MIAMI-DADE,k12
MIAMI SPRINGS MIDDLE SCHOOL,MIAMI-DADE,k12
MIAMI SPRINGS SENIOR HIGH ADULT,MIAMI-DADE,k12
MIAMI SPRINGS SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MIAMI SUNSET SENIOR HIGH SCHOOL,MIAMI-DADE,k12
MICANOPY ACADEMY,ALACHUA,k12
"MICANOPY AREA COOPERATIVE SCHOOL, INC.",ALACHUA,k12
MICCOSUKEE INDIAN SCHOOL,MIAMI-DADE,k12
MICHAEL MCCOY ELEMENTARY SCHOOL,ORANGE,k12
MICHELE BLOCK GAN YELADIM AT THE JCA,DUVAL,k12
MICHIGAN AVENUE ELEMENTARY SCHOOL,OSCEOLA,k12
MIDDLEBURG ELEMENTARY SCHOOL,CLAY,k12
MIDDLEBURG HIGH SCHOOL,CLAY,k12
MIDDLETON HIGH SCHOOL,HILLSBOROUGH,k12
MIDDLETON-BURNEY ELEMENTARY SCHOOL,PUTNAM,k12
MIDTOWN ACADEMY,PINELLAS,k12
MIDWAY ELEMENTARY SCHOOL,SEMINOLE,k12
MIKE DAVIS ELEMENTARY SCHOOL,COLLIER,k12
MILA ELEMENTARY SCHOOL,BREVARD,k12
MILDRED HELMS ELEMENTARY SCHOOL,PINELLAS,k12
MILES ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MILL CREEK ACADEMY,ST. JOHNS,k12
MILL CREEK ELEMENTARY SCHOOL,OSCEOLA,k12
MILLENNIA ATLANTIC UNIVERSITY,MIAMI-DADE,university
MILLENNIA ELEMENTARY SCHOOL,ORANGE,k12
MILLENNIA GARDENS ELEMENTARY SCHOOL,ORANGE,k12
MILLENNIUM 6-12 COLLEGIATE ACADEMY,BROWARD,k12
MILLENNIUM ACADEMY,PASCO,k12
MILLENNIUM LEADERSHIP CHRISTIAN ACADEMY INC,BROWARD,k12
MILLENNIUM MIDDLE SCHOOL,SEMINOLE,k12
MILLHOPPER MONTESSORI SCHOOL,ALACHUA,k12
MILTON HIGH SCHOOL,SANTA ROSA,k12
MILWEE MIDDLE SCHOOL,SEMINOLE,k12
MIMS ELEMENTARY SCHOOL,BREVARD,k12
MINI ME ACADEMY,MIAMI-DADE,k12
MINNEOLA CHARTER SCHOOL,LAKE,k12
MINNEOLA CONVERSION CHARTER SCHOOL,LAKE,k12
MINTZ ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MIRACLE GRACE ACADEMY,ORANGE,k12
MIRACLES SCHOOLS,PASCO,k12
MIRAMAR ELEMENTARY SCHOOL,BROWARD,k12
MIRAMAR HIGH SCHOOL,BROWARD,k12
MIRROR LAKE ELEMENTARY SCHOOL,BROWARD,k12
MIRROR LAKES ELEMENTARY SCHOOL,LEE,k12
MISSIONARY CHRISTIAN ACADEMY,HILLSBOROUGH,k12
MISSIONARY CHRISTIAN SCHOOL,HILLSBOROUGH,k12
MITCHELL ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MITTYE P. LOCKE ELEMENTARY SCHOOL,PASCO,k12
MIZRAHI TORAH ACADEMY,BROWARD,k12
MOLINO PARK ELEMENTARY SCHOOL,ESCAMBIA,k12
MOLLIE RAY ELEMENTARY SCHOOL,ORANGE,k12
MONARCH ACADEMY,VOLUSIA,k12
MONARCH HIGH SCHOOL,BROWARD,k12
MONARCH LEARNING ACADEMY,ORANGE,k12
MONROE COUNTY DETENTION CENTER,MONROE,k12
MONROE DISTRICT OFFICE,MONROE,k12
MONROE MIDDLE MAGNET SCHOOL,HILLSBOROUGH,k12
MONSIGNOR EDWARD PACE HIGH SCHOOL,MIAMI-DADE,k12
MONTCLAIR ELEMENTARY SCHOOL,ESCAMBIA,k12
MONTCLAIR ELEMENTARY SCHOOL,CLAY,k12
MONTESSORI ACADEMY,BROWARD,k12
MONTESSORI ACADEMY OF CELEBRATION,OSCEOLA,k12
"MONTESSORI ACADEMY OF EARLY ENRICHMENT, INC",PALM BEACH,k12
MONTESSORI ACADEMY OF NAPLES,COLLIER,k12
"MONTESSORI ACADEMY OF SOUTH TAMPA, LLC",HILLSBOROUGH,k12
MONTESSORI AT ROSEBOROUGH,LAKE,k12
MONTESSORI BILINGUAL ACADEMY,ORANGE,k12
MONTESSORI BY THE SEA,PINELLAS,k12
MONTESSORI CHILDREN'S ACADEMY,MIAMI-DADE,k12
MONTESSORI CHILDREN'S SCHOOL OF KEY WEST,MONROE,k12
MONTESSORI INSTITUTE OF BROWARD,BROWARD,k12
MONTESSORI LEARNING CENTER OF FT. WALTON,OKALOOSA,k12
MONTESSORI PREPARATORY SCHOOL,HILLSBOROUGH,k12
MONTESSORI PREPARATORY SCHOOL OF OCALA INC,MARION,k12
MONTESSORI SCHOOL OF EAST ORLANDO,ORANGE,k12
MONTESSORI SCHOOL OF FT. MYERS,LEE,k12
MONTESSORI SCHOOL OF NORTH MIAMI,MIAMI-DADE,k12
MONTESSORI SCHOOL OF PENSACOLA,ESCAMBIA,k12
MONTESSORI WAY SCHOOL,ORANGE,k12
MONTESSORI WORLD SCHOOL,ORANGE,k12
MONTVERDE ACADEMY,LAKE,k12
MOON LAKE ELEMENTARY SCHOOL,PASCO,k12
MOORE HAVEN ELEMENTARY SCHOOL,GLADES,k12
MOORE HAVEN MIDDLE HIGH SCHOOL.,GLADES,k12
MORE TECH INSTITUTE,MIAMI-DADE,university
MORELAND'S ALTERNATIVE EDUCATIONAL ACADEMY,BROWARD,k12
MORGAN WOODS ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MORIKAMI PARK ELEMENTARY SCHOOL,PALM BEACH,k12
MORNING STAR CATHOLIC SCHOOL,ORANGE,k12
MORNING STAR CATHOLIC SCHOOL,HILLSBOROUGH,k12
MORNING STAR SCHOOL,DUVAL,k12
MORNING STAR SCHOOL OF PINELLAS PARK,PINELLAS,k12
MORNINGSIDE ACADEMY,ST. LUCIE,k12
MORNINGSIDE ELEMENTARY SCHOOL,ST. LUCIE,k12
MORNINGSIDE K-8 ACADEMY,MIAMI-DADE,k12
MORNINGSTAR ACADEMY,BROWARD,k12
MORROW ELEMENTARY SCHOOL,BROWARD,k12
MORT ELEMENTARY SCHOOL,HILLSBOROUGH,k12
MOSLEY HIGH SCHOOL,BAY,k12
MOSS PARK ELEMENTARY SCHOOL,ORANGE,k12
MOSSY HEAD SCHOOL,WALTON,k12
MOTHER OF CHRIST CATHOLIC SCHOOL,MIAMI-DADE,k12
MOTHER OF OUR REDEEMER CATHOLIC SCHOOL,MIAMI-DADE,k12
MOTHER TERESA OF CALCUTTA CATHOLIC SCHOOL,HILLSBOROUGH,k12
MOTON ELEMENTARY SCHOOL,HERNANDO,k12
MOUNT DORA CHRISTIAN ACADEMY,LAKE,k12
MOUNT VERNON ELEMENTARY SCHOOL,PINELLAS,k12
MOUNT ZION CHRISTIAN ACADEMY,PINELLAS,k12
MOUNTAINEER'S SCHOOL OF AUTISM INC.,PALM BEACH,k12
MOWAT MIDDLE PANAMA,BAY,k12
MOWAT MIDDLE SCHOOL,BAY,k12
MT. CALVARY ACADEMY,VOLUSIA,k12
MT. DORA HIGH SCHOOL,LAKE,k12
MT. DORA MIDDLE SCHOOL,LAKE,k12
MT. HERMAN ESE CENTER,DUVAL,k12
MT. MORIAH CHRISTIAN FUNDAMENTAL ACADEMY,PINELLAS,k12
MULBERRY CHRISTIAN ACADEMY,POLK,k12
MULBERRY HIGH SCHOOL,POLK,k12
MULBERRY MIDDLE SCHOOL,POLK,k12
MULLER ELEMENTARY SCHOOL MAGNET SCHOOL,HILLSBOROUGH,k12
MULRENNAN MIDDLE SCHOOL,HILLSBOROUGH,k12
MURDOCK MIDDLE SCHOOL,CHARLOTTE,k12
MURL-WINDSOR ACADEMY AT HOLLYWOOD,BROWARD,k12
MURRAY MIDDLE SCHOOL,MARTIN,k12
MUSLIM ACADEMY OF GREATER ORLANDO,ORANGE,k12
MY 1ST COLLEGE LC,MIAMI-DADE,university
MY ACADEMY PRESCHOOL AND LEARNING CENTER,MIAMI-DADE,k12
MY FIRST ACADEMY,OSCEOLA,k12
MY FIRST STEP LEARNING,MIAMI-DADE,k12
MY HAPPY HOUSE,MIAMI-DADE,k12
MY LITTLE WORLD,MIAMI-DADE,k12
MYAKKA CITY ELEMENTARY SCHOOL,MANATEE,k12
MYAKKA RIVER ELEMENTARY SCHOOL,CHARLOTTE,k12
MYRA TERWILLIGER ELEMENTARY SCHOOL,ALACHUA,k12
MYRTLE GROVE ELEMENTARY SCHOOL,ESCAMBIA,k12
MYRTLE GROVE K-8 CENTER,MIAMI-DADE,k12
N DADE CENTER FOR MODERN LANGUAGE,MIAMI-DADE,k12
N. B. COOK ELEMENTARY SCHOOL,ESCAMBIA,k12
NANA'S PRESCHOOL AND LEARNING CENTER,BROWARD,k12
NAPLES CHRISTIAN ACADEMY,COLLIER,k12
NAPLES HIGH SCHOOL,COLLIER,k12
NAPLES PARK ELEMENTARY SCHOOL,COLLIER,k12
NARCOOSSEE ELEMENTARY SCHOOL,OSCEOLA,k12
NARCOOSSEE MIDDLE SCHOOL,OSCEOLA,k12
NASSAU COUNTY ADULT SCHOOL,NASSAU,k12
NASSAU DISTRICT OFFICE,NASSAU,k12
NATALIA RICE ACADEMY 2,DUVAL,k12
NATHAN B. YOUNG ELEMENTARY SCHOOL,MIAMI-DADE,k12
NATIONAL AVIATION ACADEMY - TAMPA BAY,PINELLAS,university
NATIONAL UNIVERSITY OF HEALTH SCIENCES,PINELLAS,university
NATIVITY CATHOLIC SCHOOL,HILLSBOROUGH,k12
NATIVITY SCHOOL,BROWARD,k12
NATURAL BRIDGE ELEMENTARY SCHOOL,MIAMI-DADE,k12
NATURE COAST MIDDLE SCHOOL,LEVY,k12
NATURE COAST TECHNICAL HIGH,HERNANDO,k12
NAVARRE HIGH SCHOOL,SANTA ROSA,k12
NAVARRE UNITED METHODIST PRESCHOOL,SANTA ROSA,k12
NAVIGATOR ACADEMY OF LEADERSHIP DAVENPORT,POLK,k12
NAVIGATOR ACADEMY OF LEADERSHIP VALRICO,HILLSBOROUGH,k12
NAVY POINT ELEMENTARY SCHOOL,ESCAMBIA,k12
NAZARET CHRISTIAN ACADEMY INC.,OSCEOLA,k12
NEIL ARMSTRONG ELEMENTARY SCHOOL,CHARLOTTE,k12
NELSON ELEMENTARY SCHOOL,HILLSBOROUGH,k12
NEOCITY ACADEMY,OSCEOLA,k12
NEPTUNE BEACH ELEMENTARY SCHOOL,DUVAL,k12
NEPTUNE ELEMENTARY SCHOOL,OSCEOLA,k12
NEPTUNE MIDDLE SCHOOL,OSCEOLA,k12
NEVA KING COOPER EDUCATIONAL CENTER,MIAMI-DADE,k12
NEW ALADDIN LEARNING CENTER,MIAMI-DADE,k12
NEW BEGINNINGS - NAPLES,COLLIER,k12
NEW BEGINNINGS CHRISTIAN ACADEMY,DUVAL,k12
NEW BEGINNINGS EDUCATION CENTER,OSCEOLA,k12
NEW BEGINNINGS HIGH SCHOOL,POLK,k12
NEW BEGINNINGS IMMOKALEE,COLLIER,k12
NEW BERLIN ELEMENTARY SCHOOL,DUVAL,k12
NEW COLLEGE OF FLORIDA,MANATEE,university
NEW CONCEPT BEAUTY SCHOOL,MIAMI-DADE,university
NEW DIMENSIONS HIGH SCHOOL,OSCEOLA,k12
NEW DIRECTION ACADEMY,POLK,k12
NEW DOMINION CHRISTIAN ACADEMY,BROWARD,k12
NEW GATE SCHOOL,SARASOTA,k12
NEW GENERATION CHRISTIAN LIVE OAK,SUWANNEE,k12
NEW GENERATION CHRISTIAN MINISTRIES,COLUMBIA,k12
NEW GENERATION MONTESSORI CHILDRENS ACADEMY,BROWARD,k12
NEW GENERATION MONTESSORI OF DELRAY BEACH,PALM BEACH,k12
NEW HEIGHTS ELEMENTARY SCHOOL,PINELLAS,k12
NEW HOPE CHRISTIAN ACADEMY,LAKE,k12
NEW HOPE CHRISTIAN SCHOOL,BROWARD,k12
NEW HORIZONS ELEMENTARY SCHOOL,PALM BEACH,k12
NEW HORIZONS LEARNING CENTER,BAY,k12
NEW JERUSALEM CHRISTIAN ACADEMY,MIAMI-DADE,k12
NEW JERUSALEM CHRISTIAN ACADEMY,HILLSBOROUGH,k12
NEW LEAF CENTER,MARION,k12
NEW LIFE CHARTER ACADEMY,BROWARD,k12
NEW RENAISSANCE MIDDLE SCHOOL,BROWARD,k12
NEW RIVER ELEMENTARY SCHOOL,PASCO,k12
NEW RIVER MIDDLE SCHOOL,BROWARD,k12
NEW SMYRNA BEACH HIGH SCHOOL,VOLUSIA,k12
NEW SMYRNA BEACH MIDDLE SCHOOL,VOLUSIA,k12
NEW SPRINGS SCHOOLS,HILLSBOROUGH,k12
NEW TESTAMENT CHRISTIAN SCHOOL,MADISON,k12
NEW VILLAGE ACADEMY,MIAMI-DADE,k12
NEW WORLD SCHOOL OF THE ARTS,MIAMI-DADE,k12
NEWBERRY CHRISTIAN COMMUNITY SCHOOL,ALACHUA,k12
NEWBERRY ELEMENTARY SCHOOL,ALACHUA,k12
NEWBERRY HIGH SCHOOL,ALACHUA,k12
NEWSOME HIGH SCHOOL,HILLSBOROUGH,k12
NIBLACK ELEMENTARY SCHOOL,COLUMBIA,k12
NICAEA ACADEMY INC.,COLLIER,k12
NICAEA ACADEMY OF CAPE CORAL,LEE,k12
NICEVILLE SENIOR HIGH SCHOOL,OKALOOSA,k12
NINA HARRIS ESE CENTER,PINELLAS,k12
NO LIMITS ACADEMY INC.,BREVARD,k12
NOB HILL ELEMENTARY SCHOOL,BROWARD,k12
NOCATEE ELEMENTARY SCHOOL,DESOTO,k12
NORCREST ELEMENTARY SCHOOL,BROWARD,k12
NORLAND ELEMENTARY SCHOOL,MIAMI-DADE,k12
NORLAND MIDDLE SCHOOL,MIAMI-DADE,k12
NORMA BUTLER BOSSARD ELEMENTARY SCHOOL,MIAMI-DADE,k12
NORMAN S. EDELCUP/SUNNY ISLES BEACH K-8,MIAMI-DADE,k12
NORMANDY VILLAGE ELEMENTARY SCHOOL,DUVAL,k12
NORTH ANDREWS GARDENS ELEMENTARY SCHOOL,BROWARD,k12
NORTH BAY HAVEN CAREER ACADEMY,BAY,k12
NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,BAY,k12
NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,BAY,k12
NORTH BEACH ELEMENTARY SCHOOL,MIAMI-DADE,k12
NORTH BROWARD ACADEMY OF EXCELLENCE MIDDLE,BROWARD,k12
