school,county,type
AMAZING LEARNING ACADEMY II,MIAMI-DADE,k12
AMBLESIDE SCHOOL OF OCALA,MARION,k12
AMELIA EARHART ELEMENTARY SCHOOL,MIAMI-DADE,k12
AMERICA'S CHRISTIAN FUTURE PRESCHOOL ELEMEMTARY,MIAMI-DADE,k12
AMERICA'S LITTLE LEADERS ACADEMY,MIAMI-DADE,k12
AMERICAN ACADEMY OF PINECREST,MIAMI-DADE,k12
AMERICAN CHRISTIAN SCHOOL ART CENTER,MIAMI-DADE,k12
AMERICAN CLASSICAL CHARTER ACADEMY,OSCEOLA,k12
AMERICAN COLLEGIATE ACADEMY LLC,PINELLAS,k12
AMERICAN HERITAGE SCHOOL,BROWARD,k12
AMERICAN HERITAGE SCHOOL OF BOCA/DELRAY,PALM BEACH,k12
AMERICAN HERITAGE SCHOOL OF PLANTATION,BROWARD,k12
AMERICAN HIGH SCHOOL ACADEMY INC.,MIAMI-DADE,k12
"AMERICAN INSTITUTE OF BEAUTY, INC., ST. PETERSBURG CAMPUS",PINELLAS,university
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,university
AMERICAN PREPARATORY ACADEMY,BROWARD,k12
AMERICAN SENIOR HIGH ADULT EDUCATION,MIAMI-DADE,k12
AMERICAN SENIOR HIGH SCHOOL,MIAMI-DADE,k12
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,university
AMERICAN YOUTH ACADEMY INC.,HILLSBOROUGH,k12
AMI KIDS TAMPA,HILLSBOROUGH,k12
AMI KIDS YES,HILLSBOROUGH,k12
AMIKIDS,ALACHUA,k12
AMIKIDS MIAMI-DADE NORTH,MIAMI-DADE,k12
AMIKIDS ORLANDO,ORANGE,k12
AMIKIDS VOLUSIA,VOLUSIA,k12
AMOS P. GODBY HIGH SCHOOL,LEON,k12
ANCLOTE ELEMENTARY SCHOOL,PASCO,k12
ANCLOTE HIGH SCHOOL,PASCO,k12
ANDERSON ELEMENTARY SCHOOL,HILLSBOROUGH,k12
