FID,SchoolSystem,AltName,InstructionalDelivery,Address,Submission_Date,WeekOf,TotalPositive_lbl,TotalPositive_ALL,Subregion
18246,Thomasville City,Thomasville City School District,"In-person, virtual and blended","750 Gates Drive Thomasville, AL, 36784 - 0000",2021-02-23,9,Less than 5,848.0,Clarke County
18247,Troy City,Troy City School District,"In-person, virtual and blended","358 Elba Hwy Troy, AL, 36079 - 0000",2021-02-24,9,0,848.0,Pike County
18248,Trussville City,Trussville City School District,"In-person, virtual and blended","601 Parkway Drive Trussville, AL, 35173 - 1341",2021-02-24,9,Less than 5,848.0,Jefferson County
18130,Tuscaloosa City,Tuscaloosa City School District,In-person and virtual,"1210 21st Ave Tuscaloosa, AL, 35401 - 2934",2021-02-23,9,Less than 5,848.0,Tuscaloosa County
18253,Tuscaloosa County,Tuscaloosa County School District,"In-person, virtual and blended","2314 9th St Tuscaloosa, AL, 35403 - 2568",2021-02-23,9,        25,848.0,Tuscaloosa County
18252,Tuscumbia City,Tuscumbia City School District,"In-person, virtual and blended","303 North Commons Street East Tuscumbia, AL, 35674 - 0000",2021-02-24,9,0,848.0,Colbert County
18250,University Charter School,University Charter School (Entire System),In-person and virtual,"108 North Street Livingston, AL, 35470 - 0000",2021-02-23,9,0,848.0,Sumter County
18255,Vestavia Hills City,Vestavia Hills City School District,"In-person, virtual and blended","1204 Montgomery Hwy Vestavia Hills, AL, 35216 - 2810",2021-02-23,9,         7,848.0,Jefferson County
18251,Walker County,Walker County School District,"In-person, virtual and blended","1710 Alabama Av Jasper, AL, 35501 - 4966",2021-02-23,9,        10,848.0,Walker County
18256,Washington County,Washington County School District,In-person and virtual,"229 Granade St Chatom, AL, 36518 - 0000",2021-02-23,9,0,848.0,Washington County
18254,Wilcox County,Wilcox County School District,In-person and virtual,"75 Camden Bypass Camden, AL, 36726 - 0000",2021-02-23,9,0,848.0,Wilcox County
18257,Winfield City,Winfield City School District,In-person and virtual,"481 Apple Ave Winfield, AL, 35594 - 0000",2021-02-23,9,0,848.0,Marion County
18259,Winston County,Winston County School District,In-person and virtual,"25101 Highway 195 / P.O. Box 9, Double Springs, AL 35553",2021-02-23,9,Less than 5,848.0,Winston County
16190,Acceleration Academy,Acceleration Academy School District,In-person and virtual,"3100 Cottage Hil Rd ,Mobile AL 36606",2021-03-11,11,Unreported,,Mobile County
16179,Alabaster City,Alabaster City School System,"In-person, virtual and blended","1953 Municipal Way Suite 200 Alabaster, AL 35007",2021-03-09,11,        16,519.0,Shelby County
16189,Albertville City,Albertville City School District,In-person and virtual,"107 West Main Street Albertville, AL, 35950 - 0025",2021-03-09,11,Less than 5,519.0,Marshall County
16187,Alexander City,Alexander City City School District,In-person and virtual,"375 Lee Street Alexander City, AL, 35010 - 2708",2021-03-09,11,Less than 5,519.0,Tallapoosa County
16180,Andalusia City,Andalusia City School District,In-person and virtual,"1201 C. C. Baker Avenue Andalusia, AL, 36421 - 2101",2021-03-09,11,0,519.0,Covington County
16191,Anniston City,Anniston City School District,In-person and virtual,"4804 McClellan Boulevard Anniston, AL, 36206 - 0000",2021-03-09,11,0,519.0,Calhoun County
16188,Arab City,Arab City School District,"In-person, virtual and blended","750 Arabian Dr NE Arab, AL, 35016 - 1161",2021-03-09,11,Less than 5,519.0,Marshall County
16208,Athens City,Athens City School District,In-person and virtual,"455 US Highway 31 North Athens, AL, 35611 - 2653",2021-03-09,11,         5,519.0,Limestone County
