precinct,office,party,mode,votes,city,county,candidate,district,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic
6,Governor,republican,total,458,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,blanks,total,34,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,all others,total,1,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,democrat,total,940,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,republican,total,460,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,blanks,total,20,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,all others,total,2,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,democrat,total,1033,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,republican,total,599,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,blanks,total,33,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,all others,total,3,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,democrat,total,855,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,republican,total,327,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,blanks,total,27,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,all others,total,2,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,969,Andover,Essex,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,514,Andover,Essex,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,28,Andover,Essex,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,4,Andover,Essex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
