county,county_new,school,school_new
DUVAL,DUVAL,ARLINGTON MIDDLE SCHOOL,ARLINGTON MIDDLE SCHOOL
HILLSBOROUGH,HILLSBOROUGH,ARMWOOD HIGH SCHOOL,ARMWOOD HIGH SCHOOL
BAY,BAY,ARNOLD HIGH SCHOOL,ARNOLD HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,ARROWHEAD NURSERY KINDERGARTEN,ARROWHEAD NURSERY KINDERGARTEN
HILLSBOROUGH,HILLSBOROUGH,ART INSTITUTE OF TAMPA- A BRANCH OF MIAMI INTERNATION,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN
HILLSBOROUGH,HILLSBOROUGH,ART INSTITUTE OF TAMPA- A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN
HILLSBOROUGH,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATION,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN
HILLSBOROUGH,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONA,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN
HILLSBOROUGH,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN
UNKNOWN,MIAMI-DADE,ARTHUR & POLLY CONSERVATORY,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS
MIAMI-DADE,MIAMI-DADE,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS
PALM BEACH,PALM BEACH,ARTHUR I MEYER JEWISH ACADEMY,ARTHUR I MEYER JEWISH ACADEMY
UNKNOWN,HILLSBOROUGH,ARTISTIC NAILS & BEAUTY ACADEMY,ARTISTIC NAILS & BEAUTY ACADEMY
OSCEOLA,OSCEOLA,ARTS THERE AFTER CHRISTIAN SCHOOL,ARTS THERE AFTER CHRISTIAN SCHOOL
MIAMI-DADE,MIAMI-DADE,ARVIDA MIDDLE SCHOOL,ARVIDA MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,ASA COLLEGE,ASA COLLEGE
MIAMI-DADE,MIAMI-DADE,ASBURY CHRISTIAN SCHOOL,ASBURY CHRISTIAN SCHOOL
UNKNOWN,MIAMI-DADE,ASBURY THEOLOGICAL SEMINARY SCHOOL,ASBURY CHRISTIAN SCHOOL
BROWARD,BROWARD,ASCEND CAREER ACADEMY,ASCEND CAREER ACADEMY
BREVARD,BREVARD,ASCENSION CATHOLIC SCHOOL,ASCENSION CATHOLIC SCHOOL
SARASOTA,SARASOTA,ASHTON ELEMENTARY SCHOOL,ASHTON ELEMENTARY SCHOOL
DUVAL,DUVAL,ASSUMPTION CATHOLIC SCHOOL,ASSUMPTION CATHOLIC SCHOOL
LAKE,LAKE,ASTATULA ELEMENTARY SCHOOL,ASTATULA ELEMENTARY SCHOOL
LEON,LEON,ASTORIA PARK ELEMENTARY SCHOOL,ASTORIA PARK ELEMENTARY SCHOOL
BREVARD,BREVARD,ASTRONAUT HIGH SCHOOL,ASTRONAUT HIGH SCHOOL
HERNANDO,HERNANDO,ATA CAREER EDUCATION - FLORIDA,ATA CAREER EDUCATION - FLORIDA
HERNANDO,HERNANDO,ATA CAREER EDUCATION-FLORIDA,ATA CAREER EDUCATION - FLORIDA
MIAMI-DADE,MIAMI-DADE,ATALA MONTESSORI SCHOOL,ATALA MONTESSORI SCHOOL
PINELLAS,PINELLAS,ATHENIAN ACADEMY,ATHENIAN ACADEMY
LEE,LEE,ATHENIAN ACADEMY CHARTER SCHOOL,ATHENIAN ACADEMY CHARTER SCHOOL
PASCO,PASCO,ATHENIAN ACADEMY OF TECHNOLOGY AND THE ARTS,ATHENIAN ACADEMY OF TECHNOLOGY AND THE ARTS
DUVAL,DUVAL,ATLANTIC BEACH ELEMENTARY SCHOOL,ATLANTIC BEACH ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEAC,ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH
PALM BEACH,PALM BEACH,ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH,ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH
DUVAL,DUVAL,ATLANTIC COAST HIGH SCHOOL,ATLANTIC COAST HIGH SCHOOL
PALM BEACH,PALM BEACH,ATLANTIC HIGH ADULT EDUCATION CENTER,ATLANTIC HIGH ADULT EDUCATION CENTER
PALM BEACH,PALM BEACH,ATLANTIC HIGH SCHOOL,ATLANTIC HIGH SCHOOL
VOLUSIA,VOLUSIA,ATLANTIC HIGH SCHOOL,ATLANTIC HIGH SCHOOL
BROWARD,BROWARD,ATLANTIC MONTESSORI CHARTER SCHOOL,ATLANTIC MONTESSORI CHARTER SCHOOL
BROWARD,BROWARD,ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS,ATLANTIC MONTESSORI CHARTER SCHOOL
BROWARD,BROWARD,ATLANTIC TECHNICAL COLLEGE,ATLANTIC TECHNICAL COLLEGE
BROWARD,BROWARD,"ATLANTIC TECHNICAL COLLEGE - ARTHUR ASHE, JR. CAMPUS",ATLANTIC TECHNICAL COLLEGE
BROWARD,BROWARD,ATLANTIC WEST ELEMENTARY SCHOOL,ATLANTIC WEST ELEMENTARY SCHOOL
BROWARD,BROWARD,ATLANTIS ACADEMY,ATLANTIS ACADEMY
MIAMI-DADE,MIAMI-DADE,ATLANTIS ACADEMY,ATLANTIS ACADEMY
MIAMI-DADE,MIAMI-DADE,ATLANTIS ACADEMY 2,ATLANTIS ACADEMY
PALM BEACH,PALM BEACH,ATLANTIS ACADEMY,ATLANTIS ACADEMY
BREVARD,BREVARD,ATLANTIS ELEMENTARY SCHOOL,ATLANTIS ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ATLANTIS UNIVERSITY,ATLANTIS UNIVERSITY
BROWARD,BROWARD,ATTUCKS MIDDLE SCHOOL,ATTUCKS MIDDLE SCHOOL
SARASOTA,SARASOTA,ATWATER ELEMENTARY,ATWATER ELEMENTARY SCHOOL
POLK,POLK,AUBURNDALE CENTRAL ELEMENTARY SCHOOL,AUBURNDALE CENTRAL ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,AUBURNDALE ELEMENTARY SCHOOL,AUBURNDALE ELEMENTARY SCHOOL
POLK,POLK,AUBURNDALE SENIOR HIGH SCHOOL,AUBURNDALE SENIOR HIGH SCHOOL
JEFFERSON,JEFFERSON,AUCILLA CHRISTIAN ACADEMY INC.,AUCILLA CHRISTIAN ACADEMY INC.
BREVARD,BREVARD,AUDUBON ELEMENTARY SCHOOL,AUDUBON ELEMENTARY SCHOOL
ORANGE,ORANGE,AUDUBON PARK SCHOOL,AUDUBON PARK SCHOOL
PINELLAS,PINELLAS,AUTISM INSPIRED ACADEMY,AUTISM INSPIRED ACADEMY
UNKNOWN,UNKNOWN,AUTISM SCHOOL FOR LEARNING,AUTISM SCHOOL FOR LEARNING
COLLIER,COLLIER,AVALON ELEMENTARY SCHOOL,AVALON ELEMENTARY SCHOOL
ORANGE,ORANGE,AVALON ELEMENTARY,AVALON ELEMENTARY SCHOOL
ORANGE,ORANGE,AVALON MIDDLE,AVALON MIDDLE SCHOOL
SANTA ROSA,SANTA ROSA,AVALON MIDDLE SCHOOL,AVALON MIDDLE SCHOOL
UNKNOWN,BROWARD,AVANT GARDE ACADEMY BROWARD,AVANT GARDE ACADEMY OF BROWARD
BROWARD,BROWARD,AVANT GARDE ACADEMY K-5 BROWARD,AVANT GARDE ACADEMY OF BROWARD
BROWARD,BROWARD,AVANT GARDE ACADEMY OF BROWARD,AVANT GARDE ACADEMY OF BROWARD
MIAMI-DADE,MIAMI-DADE,AVANT SCHOOL OF EXCELLENCE,AVANT SCHOOL OF EXCELLENCE
COLLIER,COLLIER,AVE MARIA UNIVERSITY,AVE MARIA UNIVERSITY
COLLIER,COLLIER,AVE MARIA UNIVESTITY,AVE MARIA UNIVERSITY
UNKNOWN,COLLIER,SEBASTIAN HALL-AVE MARIA UNIVERSITY,AVE MARIA UNIVERSITY
MANATEE,MANATEE,AVE MARIA UNIVERSITY PREPARATORY SCHOOL INC,AVE MARIA UNIVERSITY PREPARATORY SCHOOL INC
BROWARD,BROWARD,AVEDA INSTITUTE,AVEDA INSTITUTE
UNKNOWN,BROWARD,AVEDA INSTITUTE,AVEDA INSTITUTE
HILLSBOROUGH,HILLSBOROUGH,AVEDA INSTITUTE - BRANDON,AVEDA INSTITUTE - BRANDON
LEON,LEON,AVEDA INSTITUTE - TALLAHASSEE,AVEDA INSTITUTE - TALLAHASSEE
LEON,LEON,AVEDA INSTITUTE-TALLAHASSEE,AVEDA INSTITUTE - TALLAHASSEE
BROWARD,BROWARD,AVEDA INSTITUTE DAVIE,AVEDA INSTITUTE DAVIE
MIAMI-DADE,MIAMI-DADE,AVENTURA CITY OF EXCELLENCE SCHOOL,AVENTURA CITY OF EXCELLENCE SCHOOL
UNKNOWN,MIAMI-DADE,AVENTURA CITY OF EXCELLENT,AVENTURA CITY OF EXCELLENCE SCHOOL
MIAMI-DADE,MIAMI-DADE,AVENTURA LEARNING CENTER,AVENTURA LEARNING CENTER
MIAMI-DADE,MIAMI-DADE,AVENTURA WATERWAYS K-8 CENTER,AVENTURA WATERWAYS K-8 CENTER
UNKNOWN,MIAMI-DADE,MIAMI-DADE - AVENTURA WATERWAYS K-8 CENTER,AVENTURA WATERWAYS K-8 CENTER
SEMINOLE,SEMINOLE,AVIATION INSTITUTE OF MAINTENANCE,AVIATION INSTITUTE OF MAINTENANCE
UNKNOWN,SEMINOLE,AVIATION INSTITUTE OF MAINTENANC,AVIATION INSTITUTE OF MAINTENANCE
ST. LUCIE,ST. LUCIE,AVIATOR COLLEGE,AVIATOR COLLEGE
MIAMI-DADE,MIAMI-DADE,AVOCADO ELEMENTARY SCHOOL,AVOCADO ELEMENTARY SCHOOL
HIGHLANDS,HIGHLANDS,AVON ELEMENTARY SCHOOL,AVON ELEMENTARY SCHOOL
HIGHLANDS,HIGHLANDS,AVON PARK HIGH SCHOOL,AVON PARK HIGH SCHOOL
UNKNOWN,HIGHLANDS,AVON PARK HIGH SCHOOL,AVON PARK HIGH SCHOOL
HIGHLANDS,HIGHLANDS,AVON PARK MIDDLE SCHOOL,AVON PARK MIDDLE SCHOOL
PINELLAS,PINELLAS,AZALEA ELEMENTARY SCHOOL,AZALEA ELEMENTARY SCHOOL
PINELLAS,PINELLAS,AZALEA MIDDLE SCHOOL,AZALEA MIDDLE SCHOOL
ORANGE,ORANGE,AZALEA PARK BAPTIST SCHOOL,AZALEA PARK BAPTIST SCHOOL
ORANGE,ORANGE,AZALEA PARK ELEMENTARY,AZALEA PARK ELEMENTARY SCHOOL
ORANGE,ORANGE,AZALEA PARK LEARNING CENTER,AZALEA PARK LEARNING CENTER
MANATEE,MANATEE,B.D. GULLETT ELEMENTARY SCHOOL,B.D. GULLETT ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,B.WRIGHT LEADERSHIP ACADEMY,B.WRIGHT LEADERSHIP ACADEMY
CHARLOTTE,CHARLOTTE,BABCOCK NEIGHBORHOOD SCHOOL,BABCOCK NEIGHBORHOOD SCHOOL
MIAMI-DADE,MIAMI-DADE,BABSON COLLEGE MIAMI,BABSON COLLEGE MIAMI CAMPUS
MIAMI-DADE,MIAMI-DADE,BABSON COLLEGE MIAMI CAMPUS,BABSON COLLEGE MIAMI CAMPUS
MIAMI-DADE,MIAMI-DADE,BABSON COLLEGE-MIAMI,BABSON COLLEGE MIAMI CAMPUS
SANTA ROSA,SANTA ROSA,BAGDAD ELEMENTARY SCHOOL,BAGDAD ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,BAILEY ELEMENTARY SCHOOL,BAILEY ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,BAINBRIDGE ACADEMY,BAINBRIDGE ACADEMY
BROWARD,BROWARD,BAIR MIDDLE SCHOOL,BAIR MIDDLE SCHOOL
PALM BEACH,PALM BEACH,BAK MIDDLE SCHOOL OF THE ARTS,BAK MIDDLE SCHOOL OF THE ARTS
BAKER,BAKER,BAKER COUNTY HIGH SCHOOL,BAKER COUNTY HIGH SCHOOL
BAKER,BAKER,BAKER COUNTY MIDDLE SCHOOL,BAKER COUNTY MIDDLE SCHOOL
BAKER,BAKER,BAKER COUNTY SENIOR HIGH SCHOOL,BAKER COUNTY SENIOR HIGH SCHOOL
BAKER,BAKER,BAKER DISTRICT OFFICE,BAKER DISTRICT OFFICE
OKALOOSA,OKALOOSA,BAKER SCHOOL,BAKER SCHOOL
CHARLOTTE,CHARLOTTE,BAKER/HEAD START,BAKER/HEAD START
BROWARD,BROWARD,BALDWIN ACADEMY PREPARATORY SCHOOL II,BALDWIN ACADEMY PREPARATORY SCHOOL II
DUVAL,DUVAL,BALDWIN MIDDLE-SENIOR HIGH SCHOOL,BALDWIN MIDDLE-SENIOR HIGH SCHOOL
ORANGE,ORANGE,BALDWIN PARK ELEMENTARY,BALDWIN PARK ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,BALDWIN PREP SCHOOL,BALDWIN PREP SCHOOL
MANATEE,MANATEE,BALLARD ELEMENTARY SCHOOL,BALLARD ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,BALLAST POINT ELEMENTARY SCHOOL,BALLAST POINT ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,BANYAN CREEK ELEMENTARY SCHOOL,BANYAN CREEK ELEMENTARY SCHOOL
BROWARD,BROWARD,BANYAN ELEMENTARY SCHOOL,BANYAN ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,BANYAN ELEMENTARY SCHOOL,BANYAN ELEMENTARY SCHOOL
UNKNOWN,MIAMI-DADE,BAPTIST EARLY LEARNING CENTER,BAPTIST EARLY LEARNING CENTER
MANATEE,MANATEE,BARBARA A HARVEY ELEMENTARY SCHOOL,BARBARA A HARVEY ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,BARBARA GOLEMAN SENIOR HIGH,BARBARA GOLEMAN SENIOR HIGH
MIAMI-DADE,MIAMI-DADE,BARBARA HAWKINS ELEMENTARY SCHOOL,BARBARA HAWKINS ELEMENTARY SCHOOL
PINELLAS,PINELLAS,BARDMOOR ELEMENTARY SCHOOL,BARDMOOR ELEMENTARY SCHOOL
PINELLAS,PINELLAS,BARDMOOR YMCA PRESCHOOL ACADEMY,BARDMOOR YMCA PRESCHOOL ACADEMY
HILLSBOROUGH,HILLSBOROUGH,BARRINGTON MIDDLE SCHOOL,BARRINGTON MIDDLE SCHOOL
COLLIER,COLLIER,BARRON COLLIER HIGH SCHOOL,BARRON COLLIER HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,BARRY UNIVERSITY,BARRY UNIVERSITY
PALM BEACH,PALM BEACH,BARTON ELEMENTARY SCHOOL,BARTON ELEMENTARY SCHOOL
POLK,POLK,BARTOW ELEMENTARY ACADEMY,BARTOW ELEMENTARY SCHOOL ACADEMY
POLK,POLK,BARTOW MIDDLE SCHOOL,BARTOW MIDDLE SCHOOL
POLK,POLK,BARTOW SENIOR HIGH SCHOOL,BARTOW SENIOR HIGH SCHOOL
DUVAL,DUVAL,BARTRAM SPRINGS ELEMENTARY,BARTRAM SPRINGS ELEMENTARY SCHOOL
DUVAL,DUVAL,BARTRAM SPRINGS ELEMENTARY - 1ST GRADE,BARTRAM SPRINGS ELEMENTARY SCHOOL
ST. JOHNS,ST. JOHNS,BARTRAM TRAIL HIGH SCHOOL,BARTRAM TRAIL HIGH SCHOOL
PINELLAS,PINELLAS,BAUDER ELEMENTARY SCHOOL,BAUDER ELEMENTARY SCHOOL
BROWARD,BROWARD,BAUDHUIN ORAL SCHOOL-NOVA UNIVERSITY,BAUDHUIN ORAL SCHOOL-NOVA UNIVERSITY
HILLSBOROUGH,HILLSBOROUGH,BAY CREST ELEMENTARY SCHOOL,BAY CREST ELEMENTARY SCHOOL
BAY,BAY,BAY DISTRICT OFFICE,BAY DISTRICT OFFICE
BAY,BAY,BAY HAVEN CHARTER ACADEMY,BAY HAVEN CHARTER ACADEMY
BAY,BAY,BAY HAVEN CHARTER MIDDLE SCHOOL,BAY HAVEN CHARTER MIDDLE SCHOOL
SARASOTA,SARASOTA,BAY HAVEN SCHOOL OF BASICS PLUS,BAY HAVEN SCHOOL OF BASICS PLUS
BAY,BAY,BAY HIGH SCHOOL,BAY HIGH SCHOOL
ORANGE,ORANGE,BAY LAKE ELEMENTARY,BAY LAKE ELEMENTARY SCHOOL
ORANGE,ORANGE,BAY MEADOWS ELEMENTARY,BAY MEADOWS ELEMENTARY SCHOOL
PINELLAS,PINELLAS,BAY PINES LUTHERAN SCHOOL,BAY PINES LUTHERAN SCHOOL
PINELLAS,PINELLAS,BAY POINT ELEMENTARY SCHOOL,BAY POINT ELEMENTARY SCHOOL
PINELLAS,PINELLAS,BAY POINT MIDDLE SCHOOL,BAY POINT MIDDLE SCHOOL
WALTON,WALTON,BAY SCHOOL,BAY SCHOOL
PINELLAS,PINELLAS,BAY VISTA FUNDAMENTAL ELEMENTARY SCHOOL,BAY VISTA FUNDAMENTAL ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,BAYAAN ACADEMY TEMPLE TERRACE,BAYAAN ACADEMY TEMPLE TERRACE
HILLSBOROUGH,HILLSBOROUGH,BAYCREST ACADEMY FOR CREATIVE LEARNING,BAYCREST ACADEMY FOR CREATIVE LEARNING
DUVAL,DUVAL,BAYMEADOWS BAPTIST DAY SCHOOL,BAYMEADOWS BAPTIST DAY SCHOOL
PASCO,PASCO,BAYONET POINT MIDDLE SCHOOL,BAYONET POINT MIDDLE SCHOOL
HILLSBOROUGH,HILLSBOROUGH,BAYSHORE CHRISTIAN SCHOOL,BAYSHORE CHRISTIAN SCHOOL
LEE,LEE,BAYSHORE ELEMENTARY SCHOOL,BAYSHORE ELEMENTARY SCHOOL
MANATEE,MANATEE,BAYSHORE ELEMENTARY SCHOOL,BAYSHORE ELEMENTARY SCHOOL
ST. LUCIE,ST. LUCIE,BAYSHORE ELEMENTARY SCHOOL,BAYSHORE ELEMENTARY SCHOOL
MANATEE,MANATEE,BAYSHORE HIGH SCHOOL,BAYSHORE HIGH SCHOOL
BREVARD,BREVARD,BAYSIDE HIGH SCHOOL,BAYSIDE HIGH SCHOOL
PINELLAS,PINELLAS,BAYSIDE HIGH SCHOOL,BAYSIDE HIGH SCHOOL
BROWARD,BROWARD,BAYVIEW ELEMENTARY SCHOOL,BAYVIEW ELEMENTARY SCHOOL
DUVAL,DUVAL,BAYVIEW ELEMENTARY SCHOOL,BAYVIEW ELEMENTARY SCHOOL
ESCAMBIA,ESCAMBIA,BB C CHRISTIAN ACADEMY,BB C CHRISTIAN ACADEMY
BROWARD,BROWARD,BB INTERNATIONAL PRESCHOOL AND KINDERGARTEN,BB INTERNATIONAL PRESCHOOL AND KINDERGARTEN
DUVAL,DUVAL,BEACHES CHAPEL SCHOOL,BEACHES CHAPEL SCHOOL
INDIAN RIVER,INDIAN RIVER,BEACHLAND ELEMENTARY SCHOOL,BEACHLAND ELEMENTARY SCHOOL
BROWARD,BROWARD,BEACHSIDE MONTESSORI VILLAGE,BEACHSIDE MONTESSORI VILLAGE
LAKE,LAKE,BEACON COLLEGE,BEACON COLLEGE
MIAMI-DADE,MIAMI-DADE,BEACON COLLEGE PREP MIDDLE SCHOOL,BEACON COLLEGE PREPARATORY
MIAMI-DADE,MIAMI-DADE,BEACON COLLEGE PREPARATORY,BEACON COLLEGE PREPARATORY
PALM BEACH,PALM BEACH,BEACON COVE INTERMEDIATE SCHOOL,BEACON COVE INTERMEDIATE SCHOOL
COLLIER,COLLIER,BEACON H.S.,BEACON HIGH SCHOOL
COLLIER,COLLIER,BEACON HIGH SCHOOL,BEACON HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,BEACON HILL CENTER INC.,BEACON HILL CENTER INC.
MIAMI-DADE,MIAMI-DADE,BEACON HILL PREPARATORY ACADEMY,BEACON HILL PREPARATORY ACADEMY
BROWARD,BROWARD,BEACON HILL SCHOOL INC,BEACON HILL SCHOOL INC
ST. JOHNS,ST. JOHNS,BEACON OF HOPE CHRISTIAN SCHOOL,BEACON OF HOPE CHRISTIAN SCHOOL
PINELLAS,PINELLAS,BEAR CREEK ELEMENTARY SCHOOL,BEAR CREEK ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,BEAR LAKE ELEMENTARY SCHOOL,BEAR LAKE ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,BEAR LAKE MONTESSORI ACADEMY,BEAR LAKE MONTESSORI ACADEMY
PALM BEACH,PALM BEACH,BEAR LAKES MIDDLE SCHOOL,BEAR LAKES MIDDLE SCHOOL
DUVAL,DUVAL,BEAUCLERC ELEMENTARY SCHOOL,BEAUCLERC ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,BEIS-CHANA HIGH SCHOOL,BEIS-CHANA HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,BEL-AIRE ELEMENTARY SCHOOL,BEL-AIRE ELEMENTARY SCHOOL
PINELLAS,PINELLAS,BELCHER ELEMENTARY SCHOOL,BELCHER ELEMENTARY SCHOOL
UNKNOWN,MIAMI-DADE,BELEN,BELEN JESUIT PREPARATORY SCHOOL
MIAMI-DADE,MIAMI-DADE,BELEN JESUIT PREPARATORY SCHOOL,BELEN JESUIT PREPARATORY SCHOOL
PALM BEACH,PALM BEACH,BELIEVERS ACADEMY,BELIEVERS ACADEMY
HILLSBOROUGH,HILLSBOROUGH,BELL CREEK ACADEMY,BELL CREEK ACADEMY
GILCHRIST,GILCHRIST,BELL ELEMENTARY SCHOOL,BELL ELEMENTARY SCHOOL
GILCHRIST,GILCHRIST,BELL HIGH SCHOOL,BELL HIGH SCHOOL
HILLSBOROUGH,HILLSBOROUGH,BELL SHOALS BAPTIST ACADEMY,BELL SHOALS BAPTIST ACADEMY
OSCEOLA,OSCEOLA,BELLALAGO CHARTER ACADEMY,BELLALAGO CHARTER ACADEMY
HILLSBOROUGH,HILLSBOROUGH,BELLAMY ELEMENTARY SCHOOL,BELLAMY ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,BELLASA PROFESSIONAL INSTITUTE,BELLASA PROFESSIONAL INSTITUTE
PALM BEACH,PALM BEACH,BELLE GLADE CHRISTIAN ACADEMY,BELLE GLADE CHRISTIAN ACADEMY
PALM BEACH,PALM BEACH,BELLE GLADE ELEMENTARY SCHOOL,BELLE GLADE ELEMENTARY SCHOOL
FLAGLER,FLAGLER,BELLE TERRE ELEMENTARY SCHOOL,BELLE TERRE ELEMENTARY SCHOOL
PINELLAS,PINELLAS,BELLEAIR ELEMENTARY SCHOOL,BELLEAIR ELEMENTARY SCHOOL
MARION,MARION,BELLEVIEW CHRISTIAN ACADEMY,BELLEVIEW CHRISTIAN ACADEMY
MARION,MARION,BELLEVIEW ELEMENTARY SCHOOL,BELLEVIEW ELEMENTARY SCHOOL
MARION,MARION,BELLEVIEW HIGH SCHOOL,BELLEVIEW HIGH SCHOOL
MARION,MARION,BELLEVIEW MIDDLE SCHOOL,BELLEVIEW MIDDLE SCHOOL
MARION,MARION,BELLEVIEW-SANTOS ELEMENTARY SCHOOL,BELLEVIEW-SANTOS ELEMENTARY SCHOOL
ESCAMBIA,ESCAMBIA,BELLVIEW ELEMENTARY SCHOOL,BELLVIEW ELEMENTARY SCHOOL
ESCAMBIA,ESCAMBIA,BELLVIEW MIDDLE SCHOOL,BELLVIEW MIDDLE SCHOOL
COLUMBIA,COLUMBIA,BELMONT ACADEMY,BELMONT ACADEMY
HILLSBOROUGH,HILLSBOROUGH,BELMONT ELEMENTARY SCHOOL,BELMONT ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,BELVEDERE ELEMENTARY SCHOOL,BELVEDERE ELEMENTARY SCHOOL
BROWARD,BROWARD,BEN GAMLA CHARTER SCHOOL,BEN GAMLA CHARTER SCHOOL
UNKNOWN,BROWARD,BENGAMLA,BEN GAMLA CHARTER SCHOOL
MIAMI-DADE,MIAMI-DADE,BEN GAMLA CHARTER SCHOOL,BEN GAMLA CHARTER SCHOOL
BROWARD,BROWARD,BEN GAMLA CHARTER SCHOOL NORTH CAMPUS,BEN GAMLA CHARTER SCHOOL NORTH CAMPUS
BROWARD,BROWARD,BEN GAMLA CHARTER SCHOOL SOUTH BROWARD,BEN GAMLA CHARTER SCHOOL SOUTH BROWARD
BROWARD,BROWARD,BEN GAMLA PREPARATORY ACADEMY,BEN GAMLA PREPARATORY ACADEMY
PALM BEACH,PALM BEACH,BEN GAMLA-PALM BEACH,BEN GAMLA-PALM BEACH
POLK,POLK,BEN HILL GRIFFIN JR ELEMENTARY SCHOOL,BEN HILL GRIFFIN JR ELEMENTARY SCHOOL
UNKNOWN,HILLSBOROUGH,BEN HILL MIDDLE SCHOOL,BEN HILL MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,BEN SHEPPARD ELEMENTARY SCHOOL,BEN SHEPPARD ELEMENTARY SCHOOL
PASCO,PASCO,BENE'S CAREER ACADEMY,BENE'S CAREER ACADEMY
UNKNOWN,SARASOTA,BENEVA LAKE HEALTHCARE,BENEVA LAKE HEALTHCARE
HILLSBOROUGH,HILLSBOROUGH,BENITO MIDDLE SCHOOL,BENITO MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,BENJAMIN FRANKLIN K-8 CENTER,BENJAMIN FRANKLIN K-8 CENTER
SANTA ROSA,SANTA ROSA,BENNETT C RUSSELL ELEMENTARY SCHOOL,BENNETT C RUSSELL ELEMENTARY SCHOOL
BROWARD,BROWARD,BENNETT ELEMENTARY SCHOOL,BENNETT ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,BENOIST FARMS ELEMENTARY SCHOOL,BENOIST FARMS ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,BENT TREE ELEMENTARY SCHOOL,BENT TREE ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,BENTLEY ELEMENTARY SCHOOL,BENTLEY ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,BEREAN CHRISTIAN SCHOOL,BEREAN CHRISTIAN SCHOOL
HILLSBOROUGH,HILLSBOROUGH,BERKELEY PREPARATORY SCHOOL,BERKELEY PREPARATORY SCHOOL
POLK,POLK,BERKLEY ACCELERATED MIDDLE SCHOOL,BERKLEY ACCELERATED MIDDLE SCHOOL
POLK,POLK,BERKLEY ELEMENTARY SCHOOL,BERKLEY ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,BERKSHIRE ELEMENTARY SCHOOL,BERKSHIRE ELEMENTARY SCHOOL
SANTA ROSA,SANTA ROSA,BERRYHILL ELEMENTARY SCHOOL,BERRYHILL ELEMENTARY SCHOOL
ORANGE,ORANGE,BERYL WISDOM ADVENTIST SCHOOL,BERYL WISDOM ADVENTIST SCHOOL
MARTIN,MARTIN,BESSEY CREEK ELEMENTARY SCHOOL,BESSEY CREEK ELEMENTARY SCHOOL
ORANGE,ORANGE,BETA,BETA
UNKNOWN,MIAMI-DADE,BETH JACOB HIGH SCHOOL,BETH JACOB HIGH SCHOOL INC.
