county,county_new,school,school_new
SEMINOLE,SEMINOLE,ALL SOULS CATHOLIC SCHOOL,ALL SOULS CATHOLIC SCHOOL
MIAMI-DADE,MIAMI-DADE,ALL STARS EDUCATION ACADEMY,ALL STARS EDUCATION ACADEMY
ST. LUCIE,ST. LUCIE,ALL VILLAGES CHRISTIAN SCHOOL,ALL VILLAGES CHRISTIAN SCHOOL
PALM BEACH,PALM BEACH,ALLAMANDA ELEMENTARY SCHOOL,ALLAMANDA ELEMENTARY SCHOOL
ST. LUCIE,ST. LUCIE,ALLAPATTAH FLATS K-8,ALLAPATTAH FLATS K-8
MIAMI-DADE,MIAMI-DADE,ALLAPATTAH WYNWOOD CHILDCARE SCHOOL,ALLAPATTAH WYNWOOD CHILDCARE SCHOOL
ST. JOHNS,ST. JOHNS,ALLEN D NEASE SENIOR HIGH SCHOOL,ALLEN D NEASE HIGH
ST. JOHNS,ST. JOHNS,ALLEN D. NEASE HIGH SCHOOL,ALLEN D NEASE HIGH
UNKNOWN,ST. JOHNS,ALLEN NEASE HIGH SCHOOL,ALLEN D NEASE HIGH
LEE,LEE,ALLEN PARK ELEMENTARY SCHOOL,ALLEN PARK ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ALLISON ACADEMY,ALLISON ACADEMY
ORANGE,ORANGE,ALOMA ELEMENTARY,ALOMA ELEMENTARY SCHOOL
ORANGE,ORANGE,ALOMA HIGH CHARTER,ALOMA HIGH CHARTER
HILLSBOROUGH,HILLSBOROUGH,ALONSO HIGH SCHOOL,ALONSO HIGH SCHOOL
UNKNOWN,HILLSBOROUGH,HILLSBOROUGH - ALONSO HIGH SCHOOL,ALONSO HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL
UNKNOWN,MIAMI-DADE,ALONZO AND TRACY MOURNING,ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL
OKALOOSA,OKALOOSA,ALPHA AND OMEGA CHRISTIAN LEARNING CENTER,ALPHA AND OMEGA CHRISTIAN LEARNING CENTER
MIAMI-DADE,MIAMI-DADE,ALPHA CHARTER OF EXCELLENCE,ALPHA CHARTER OF EXCELLENCE
BROWARD,BROWARD,ALPHA INTERNATIONAL ACADEMY,ALPHA INTERNATIONAL ACADEMY
VOLUSIA,VOLUSIA,ALPHA LEARNING ACADEMY,ALPHA LEARNING ACADEMY
SEMINOLE,SEMINOLE,ALPINE ACADEMY,ALPINE ACADEMY
POLK,POLK,ALTA VISTA ELEMENTARY SCHOOL,ALTA VISTA ELEMENTARY SCHOOL
